FID,fid,Geometry,name,visibility,open,address,phoneNumber,description,LookAt,Region,Folder
geonode_new_caledonia_t1.30,30,POINT (165.80569599800003 -21.462914999999953),new_caledonia_t1.101,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0322</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.80569599800003 -21.462914999999953),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.31,31,POINT (165.79819402700002 -21.476184976999946),new_caledonia_t1.102,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0332</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.79819402700002 -21.47618497699996),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.32,32,POINT (165.7985560410001 -21.49876699799995),new_caledonia_t1.103,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0342</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.7985560410001 -21.49876699799998),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.33,33,POINT (165.82698100200003 -21.579721010999947),new_caledonia_t1.104,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0352</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.82698100200003 -21.579721010999947),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.34,34,POINT (165.73310201100003 -21.696743024999932),new_caledonia_t1.105,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0362</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.73310201100003 -21.696743024999932),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.35,35,POINT (165.6949149820001 -21.70670399399995),new_caledonia_t1.106,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0371</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.6949149820001 -21.70670399399995),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.36,36,POINT (165.5351790410001 -21.65021499599993),new_caledonia_t1.107,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0381</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.5351790410001 -21.65021499599993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.37,37,POINT (165.47329100800005 -21.536913038999955),new_caledonia_t1.108,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0391</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.47329100800005 -21.536913038999955),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.38,38,POINT (165.45982900100012 -21.433843038999953),new_caledonia_t1.109,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0401</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.45982900100012 -21.433843038999953),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.39,39,POINT (165.35400303100005 -21.47469601599994),new_caledonia_t1.110,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0411</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.35400303100005 -21.474696015999953),,geonode:new_caledonia_t1
